PO Number,PO Line,Maximum of Subsidiary,Maximum of Department,Maximum of Location,Maximum of Created By,Maximum of PO Status,Maximum of Date,Maximum of Expected Receipt Date,Maximum of Promise Date,Maximum of Due Date,Maximum of Total Quantity,Maximum of Quantity Fulfilled/Received,Maximum of Open Qty,Maximum of Item Rate,Maximum of Total Quantity Amount,Maximum of Shipping Zip,Maximum of Shipping Country Code,Maximum of Terms,Maximum of Vendor Internal ID,Maximum of Vendor Name,Maximum of Vendor Zip Code,Maximum of Memo,Maximum of Item Internal ID,Maximum of Item MPN Name Custom,Maximum of Item Display Name,Maximum of Item Description,Maximum of Item GL Expense Account,Maximum of Item Type,Maximum of Product Line,Maximum of Primary UOM
P-BL0000728,1,Top Company : PwrQ Holdings : Bretco LLC,0000 - None,8373B Greensboro Dr,Jennifer Midkiff,Pending Receipt,05/21/2026,05/29/2026,,,2,0,2,9989.00,19978.00,17601,US,Net 30,53114,Echo Electric,60674-5651,"BRIDGES ELECTRIC SIEMENS 984X-41 SWITCH, 34.5KV, 900 AMP, GOAB, HORZ MOUNT, W/OPERATING INSULATOR",4525385,"DS-Other (i.e. hardware, cables, Pole Mounted Equipment, etc)","Other (i.e. hardware, cables, Pole Mounted Equipment, etc)",[FILL IN DESCRIPTION],Cost of Sales - Sourced Product,Inventory Item,"Other (i.e. hardware, cables, Pole Mounted Equipment, etc)",
P-BL0000729,1,Top Company : PwrQ Holdings : Bretco LLC,0000 - None,8373B Greensboro Dr,Amanda Woodhall,Pending Receipt,05/26/2026,06/09/2026,,,1,0,1,2835.00,2835.00,23120,US,Credit Card,51894,SEL - SCHWEITZER ENGINEERING LABORATORIES,99163,SEL-2730M Managed 24-Port Ethernet Switch ,4530435,66410_Sales Concession,,,Sales Concession,Non-inventory Item,,Each
P-BL0000731,1,Top Company : PwrQ Holdings : Bretco LLC,0000 - None,8373B Greensboro Dr,Amanda Woodhall,Pending Receipt,05/26/2026,01/01/2027,,,1,0,1,700000.00,700000.00,20190,US,Net 30,55292,IC-Ares Energy,61703,#13: MV Start-Up and Commissioning ,4530746,DS-Startup,DS-Startup,,Cost of Sales - Sourced Product,Non-inventory Item,,Each
P-BL0000731,2,Top Company : PwrQ Holdings : Bretco LLC,0000 - None,8373B Greensboro Dr,Amanda Woodhall,Pending Receipt,05/26/2026,01/01/2027,,,1,0,1,2600000.00,2600000.00,20190,US,Net 30,55292,IC-Ares Energy,61703,#7: LV Start-Up and Commissioning ,4530746,DS-Startup,DS-Startup,,Cost of Sales - Sourced Product,Non-inventory Item,,Each
P-BL0000737,1,Top Company : PwrQ Holdings : Bretco LLC,0000 - None,8373B Greensboro Dr,Jennifer Midkiff,Pending Billing/Partially Received,05/28/2026,06/11/2026,,,144,0,144,890.00,128160.00,11111,US,Net 30,55292,IC-Ares Energy,61703,"Start-Up, commissioning and IST",4538942,DS-Startup,DS-Startup,,Cost of Sales - Sourced Product,Non-inventory Item,,Each
P-BL0000738,1,Top Company : PwrQ Holdings : Bretco LLC,0000 - None,8373B Greensboro Dr,Jennifer Midkiff,Pending Receipt,05/28/2026,06/11/2026,,,72,0,72,890.00,64080.00,11111,US,Net 30,55292,IC-Ares Energy,61703,"Start-Up, commissioning and IST",4538943,DS-Startup,DS-Startup,,Cost of Sales - Sourced Product,Non-inventory Item,,Each
P-BL0000738,2,Top Company : PwrQ Holdings : Bretco LLC,0000 - None,8373B Greensboro Dr,Jennifer Midkiff,Pending Receipt,05/28/2026,06/11/2026,,,1,0,1,2850.00,2850.00,11111,US,Net 30,55292,IC-Ares Energy,61703,Owners Training,4538943,DS-Training Services NEW,DS-Training Services NEW,,Cost of Sales - Services and Solutions,Non-inventory Item,,Each
P-BL0000739,1,Top Company : PwrQ Holdings : Bretco LLC,0000 - None,8373B Greensboro Dr,Jennifer Midkiff,Pending Receipt,05/28/2026,06/11/2026,,,4,0,4,890.00,3560.00,11111,US,Net 30,55292,IC-Ares Energy,61703,"Start-Up, commissioning and IST",4538944,DS-Startup,DS-Startup,,Cost of Sales - Sourced Product,Non-inventory Item,,Each
P-BL0000739,2,Top Company : PwrQ Holdings : Bretco LLC,0000 - None,8373B Greensboro Dr,Jennifer Midkiff,Pending Receipt,05/28/2026,06/11/2026,,,1,0,1,2850.00,2850.00,11111,US,Net 30,55292,IC-Ares Energy,61703,Owner's Training,4538944,DS-Training Services NEW,DS-Training Services NEW,,Cost of Sales - Services and Solutions,Non-inventory Item,,Each
P-BL0000740,1,Top Company : PwrQ Holdings : Bretco LLC,0000 - None,8373B Greensboro Dr,Jennifer Midkiff,Pending Receipt,05/28/2026,06/11/2026,,,4,0,4,890.00,3560.00,11111,US,Net 30,55292,IC-Ares Energy,61703,"Start-Up, commissioning and IST",4538945,DS-Startup,DS-Startup,,Cost of Sales - Sourced Product,Non-inventory Item,,Each
P-BL0000740,2,Top Company : PwrQ Holdings : Bretco LLC,0000 - None,8373B Greensboro Dr,Jennifer Midkiff,Pending Receipt,05/28/2026,06/11/2026,,,1,0,1,2850.00,2850.00,11111,US,Net 30,55292,IC-Ares Energy,61703,Owner's Training,4538945,DS-Training Services NEW,DS-Training Services NEW,,Cost of Sales - Services and Solutions,Non-inventory Item,,Each
P-BL0000741,1,Top Company : PwrQ Holdings : Bretco LLC,0000 - None,8373B Greensboro Dr,Jennifer Midkiff,Pending Receipt,05/28/2026,06/11/2026,,,4,0,4,890.00,3560.00,11111,US,Net 30,55292,IC-Ares Energy,61703,"Start-Up, commissioning and IST",4538947,DS-Startup,DS-Startup,,Cost of Sales - Sourced Product,Non-inventory Item,,Each
P-BL0000741,2,Top Company : PwrQ Holdings : Bretco LLC,0000 - None,8373B Greensboro Dr,Jennifer Midkiff,Pending Receipt,05/28/2026,06/11/2026,,,1,0,1,2850.00,2850.00,11111,US,Net 30,55292,IC-Ares Energy,61703,Owner's Training,4538947,DS-Training Services NEW,DS-Training Services NEW,,Cost of Sales - Services and Solutions,Non-inventory Item,,Each
P-BL0000748,3,Top Company : PwrQ Holdings : Bretco LLC,,8373B Greensboro Dr,Alex Boeckler,Partially Received,06/08/2026,06/22/2026,,,1,0,1,3480.00,3480.00,21237,US,Net 30,56019,360 Rigging,20109,August 2026,4567215,Storage Fee,Storage Fee,,Cost of Sales - Sourced Product,Non-inventory Item,,Each
P-BL0000750,1,Top Company : PwrQ Holdings : Bretco LLC,0000 - None,8373B Greensboro Dr,Jennifer Midkiff,Pending Receipt,06/09/2026,06/26/2026,,,1,0,1,.00,.00,55449,US,Net 30,55390,IC-Allied Power and Control,21076,"UPS, 24 VDC, 240 W, HARDWIRED I/O, 14 MIN. BACKUP, SDU DIN RAIL DC UPS SERIES",4570315,SDU1024B,"UPS, 24 VDC, 240 W, HARDWIRED I/O, 14 MIN. BACKUP, SDU DIN RAIL DC UPS SERIES","UPS, 24 VDC, 240 W, HARDWIRED I/O, 14 MIN. BACKUP, SDU DIN RAIL DC UPS SERIES",Cost of Sales - Manufactured Product,Inventory Item,,Each
P-BL0000753,1,Top Company : PwrQ Holdings : Bretco LLC,0000 - None,8373B Greensboro Dr,Jennifer Midkiff,Pending Receipt,06/12/2026,06/26/2026,,,1,0,1,38530.00,38530.00,21076,US,Net 30,53093,G&W Electric Co,60673, Sequence of Operations Logic on Existing Loop,4583554,DS-FIELD SERVICE,DS-FIELD SERVICE,,Outbound Freight,Non-inventory Item,,Each
P-BL0000754,1,Top Company : PwrQ Holdings : Bretco LLC,0000 - None,8373B Greensboro Dr,Amanda Woodhall,Pending Receipt,06/16/2026,08/30/2026,,,1,0,1,18750.00,18750.00,20190,US,Net 30,55292,IC-Ares Energy,61703,"Engineering Services: Pre-energization, Start-up, CX (L3-L5), IST & Training for 3000kVA Transformers (277/480V) – Five (5) Days per Unit ",4590492,DS-Startup,DS-Startup,,Cost of Sales - Sourced Product,Non-inventory Item,,Each
P-BL0000754,2,Top Company : PwrQ Holdings : Bretco LLC,0000 - None,8373B Greensboro Dr,Amanda Woodhall,Pending Receipt,06/16/2026,08/30/2026,,,1,0,1,37500.00,37500.00,20190,US,Net 30,55292,IC-Ares Energy,61703,"Engineering Services: Pre-energization, Start-up, CX (L3-L5), IST & Training for 3000kVA Transformers (415/240V) – Five (5) Days per Unit ",4590492,DS-Startup,DS-Startup,,Cost of Sales - Sourced Product,Non-inventory Item,,Each
P-BL0000754,3,Top Company : PwrQ Holdings : Bretco LLC,0000 - None,8373B Greensboro Dr,Amanda Woodhall,Pending Receipt,06/16/2026,08/30/2026,,,1,0,1,3750.00,3750.00,20190,US,Net 30,55292,IC-Ares Energy,61703,"Engineering Services: Pre-energization, Start-up, CX (L3-L5), IST & Training for 3000kVA Transformers (415/240V) – Five (5) Days per Unit ",4590492,DS-Startup,DS-Startup,,Cost of Sales - Sourced Product,Non-inventory Item,,Each
P-BL0000759,1,Top Company : PwrQ Holdings : Bretco LLC,0000 - None,8373B Greensboro Dr,Alex Boeckler,Pending Receipt,06/22/2026,10/01/2026,,,1,0,1,272727.00,272727.00,20110,US,Net 30,53087,EAE,30305,"KXA-III, 400A, Small Plug-in, 4W BUSWAY & 100A FUSED BUS PLUGS",4604642,DS-Busway LV (Not Open Channel),Busway LV (Not Open Channel),[FILL IN DESCRIPTION],Cost of Sales - Sourced Product,Inventory Item,,
P-BL0000763,1,Top Company : PwrQ Holdings : Bretco LLC,,8373B Greensboro Dr,Alex Boeckler,Pending Receipt,06/23/2026,07/07/2026,,,1,0,1,23090.40,23090.40,11111,US,Net 30,140588,"Jk Moving & Storage, Inc",20166,,4608592,Storage Fee,Storage Fee,,Cost of Sales - Sourced Product,Non-inventory Item,,Each
P-BL0000764,1,Top Company : PwrQ Holdings : Bretco LLC,0000 - None,8373B Greensboro Dr,Jennifer Midkiff,Pending Receipt,06/24/2026,11/19/2026,,,1,0,1,8214.00,8214.00,62521,US,Net 30,53114,Echo Electric,60674-5651,"GANG OPERATED AIR BREAK, 900A, 15KV, 110KV BIL, LOCAKBLE IN OFF POSITION, CAPABLE OF OPENING UNDER 3/4 "" ICE LOADING, HANDLE INSULATOR",4612146,"DS-Other (i.e. hardware, cables, Pole Mounted Equipment, etc)","Other (i.e. hardware, cables, Pole Mounted Equipment, etc)",[FILL IN DESCRIPTION],Cost of Sales - Sourced Product,Inventory Item,,
P-BL0000764,2,Top Company : PwrQ Holdings : Bretco LLC,0000 - None,8373B Greensboro Dr,Jennifer Midkiff,Pending Receipt,06/24/2026,11/19/2026,,,3,0,3,181.54,544.62,62521,US,Net 30,53114,Echo Electric,60674-5651,ARRESTER BRACKETS FOR ABOVE SWITCH BASE,4612146,"DS-Other (i.e. hardware, cables, Pole Mounted Equipment, etc)","Other (i.e. hardware, cables, Pole Mounted Equipment, etc)",[FILL IN DESCRIPTION],Cost of Sales - Sourced Product,Inventory Item,,
P-BL0000764,3,Top Company : PwrQ Holdings : Bretco LLC,0000 - None,8373B Greensboro Dr,Jennifer Midkiff,Pending Receipt,06/24/2026,11/19/2026,,,1,0,1,42179.00,42179.00,62521,US,Net 30,53114,Echo Electric,60674-5651,"TAVRIDA RECLOSER 27KV (15KV),  see the attached",4612146,"DS-Other (i.e. hardware, cables, Pole Mounted Equipment, etc)","Other (i.e. hardware, cables, Pole Mounted Equipment, etc)",[FILL IN DESCRIPTION],Cost of Sales - Sourced Product,Inventory Item,,
P-BL0000764,4,Top Company : PwrQ Holdings : Bretco LLC,0000 - None,8373B Greensboro Dr,Jennifer Midkiff,Pending Receipt,06/24/2026,11/19/2026,,,1,0,1,243.54,243.54,62521,US,Net 30,53114,Echo Electric,60674-5651,CUTOUT - POLY - 100A RATED WITH CROSSARM BRACKET (CPT CUTOUT ON RECLOSER) -,4612146,"DS-Other (i.e. hardware, cables, Pole Mounted Equipment, etc)","Other (i.e. hardware, cables, Pole Mounted Equipment, etc)",[FILL IN DESCRIPTION],Cost of Sales - Sourced Product,Inventory Item,,
P-BL0000764,5,Top Company : PwrQ Holdings : Bretco LLC,0000 - None,8373B Greensboro Dr,Jennifer Midkiff,Pending Receipt,06/24/2026,11/19/2026,,,1,0,1,15.00,15.00,62521,US,Net 30,53114,Echo Electric,60674-5651,FUSES FOR ABOVE ( CUSTOMER TO SPECIFY FUSE SIZE),4612146,"DS-Other (i.e. hardware, cables, Pole Mounted Equipment, etc)","Other (i.e. hardware, cables, Pole Mounted Equipment, etc)",[FILL IN DESCRIPTION],Cost of Sales - Sourced Product,Inventory Item,,
P-BL0000764,6,Top Company : PwrQ Holdings : Bretco LLC,0000 - None,8373B Greensboro Dr,Jennifer Midkiff,Pending Receipt,06/24/2026,11/19/2026,,,3,0,3,161.47,484.41,62521,US,Net 30,53114,Echo Electric,60674-5651,"8.4 KV MCOV LIGHTNING ARRESTORS, CROSSARM BRACKET",4612146,"DS-Other (i.e. hardware, cables, Pole Mounted Equipment, etc)","Other (i.e. hardware, cables, Pole Mounted Equipment, etc)",[FILL IN DESCRIPTION],Cost of Sales - Sourced Product,Inventory Item,,
P-BL0000765,1,Top Company : PwrQ Holdings : Bretco LLC,0000 - None,8373B Greensboro Dr,Amanda Woodhall,Pending Receipt,06/25/2026,06/30/2026,,,1,0,1,.00,.00,11111,US,Net 30,55390,IC-Allied Power and Control,21076,"(1) lot of spare control fuses & indicating lights, (2) spare 5000A breakers, (2) spare 4000A breakers, (2) spare 2500A breakers, (2) Spare 1600A breaker, (1) spare 1200A breaker, (2) breaker lifting yoke, (1) breaker test set, (1) breaker floor dolly",4616307,CTP-03 SPARE PARTS,,"(1) lot of spare control fuses & indicating lights, (2) spare 5000A breakers, (2) spare 4000A breakers, (2) spare 2500A breakers, (2) Spare 1600A breaker, (1) spare 1200A breaker, (2) breaker lifting yoke, (1) breaker test set, (1) breaker floor dolly",Cost of Sales - Manufactured Product,Assembly/Bill of Materials,,Each
P-BL0000769,1,Top Company : PwrQ Holdings : Bretco LLC,0000 - None,8373B Greensboro Dr,Amanda Woodhall,Pending Receipt,06/30/2026,06/30/2026,,,1,0,1,2500.00,2500.00,98168,US,Net 30,55292,IC-Ares Energy,61703,Services performed on 6/29/2026,4628938,DS-Labor Standard,Labor Standard,,Cost of Sales - Services and Solutions,Non-inventory Item,,Each
P-BL0000771,1,Top Company : PwrQ Holdings : Bretco LLC,0000 - None,8373B Greensboro Dr,Jennifer Midkiff,Pending Receipt,07/01/2026,07/30/2027,,,21,0,21,382512.00,8032752.00,20171,US,Net 30,53093,G&W Electric Co,60673,"Auto Transfer, 38kV, 150 kV BIL, 6-Way SF6 Insulated Pad mount Switch",4636272,DS-Medium Voltage Switchgear,Medium Voltage Switchgear,[FILL IN DESCRIPTION],Cost of Sales - Sourced Product,Inventory Item,,
P-BL0000774,1,Top Company : PwrQ Holdings : Bretco LLC,,8373B Greensboro Dr,Amanda Woodhall,Pending Receipt,07/09/2026,08/31/2026,,,1,0,1,120000.00,120000.00,22716,US,Net 30,53099,IEM,94539,Add the following items: 2ea 15KVA CPT + Auto throw over secondary scheme to switchgear - includes roll out fuse drawer and modifications to existing structure ,4667071,Change Order,Change Order,,Cost of Sales - Sourced Product,Non-inventory Item,,Each
P-BL0000778,1,Top Company : PwrQ Holdings : Bretco LLC,0000 - None,8373B Greensboro Dr,Amanda Woodhall,Pending Receipt,07/10/2026,08/31/2026,,,1,0,1,1570.00,1570.00,20109,US,Net 30,2641,SHEPHERD ELECTRIC SUPPLY CO,21237,125VDC PANEL--PANELBOARD P2 ,4669909,66410_Sales Concession,,,Sales Concession,Non-inventory Item,,Each
P-BL0000780,1,Top Company : PwrQ Holdings : Bretco LLC,0000 - None,8373B Greensboro Dr,Amanda Woodhall,Pending Receipt,07/13/2026,04/15/2027,,,2,0,2,1366985.00,2733970.00,24382,US,Net 30,93433,States Manufacturing LLC,55316,MV - MCS -MV Primary Switchgear ,4671907,DS-Metal Clad Switchgear,Metal Clad Switchgear,[FILL IN DESCRIPTION],Cost of Sales - Sourced Product,Inventory Item,,
P-BL0000780,2,Top Company : PwrQ Holdings : Bretco LLC,0000 - None,8373B Greensboro Dr,Amanda Woodhall,Pending Receipt,07/13/2026,05/15/2027,,,2,0,2,1366985.00,2733970.00,24382,US,Net 30,93433,States Manufacturing LLC,55316,MV - MCS -MV Primary Switchgear ,4671907,DS-Metal Clad Switchgear,Metal Clad Switchgear,[FILL IN DESCRIPTION],Cost of Sales - Sourced Product,Inventory Item,,
P-BL0000780,3,Top Company : PwrQ Holdings : Bretco LLC,0000 - None,8373B Greensboro Dr,Amanda Woodhall,Pending Receipt,07/13/2026,06/15/2027,,,2,0,2,1366985.00,2733970.00,24382,US,Net 30,93433,States Manufacturing LLC,55316,MV - MCS -MV Primary Switchgear ,4671907,DS-Metal Clad Switchgear,Metal Clad Switchgear,[FILL IN DESCRIPTION],Cost of Sales - Sourced Product,Inventory Item,,
P-BL0000780,4,Top Company : PwrQ Holdings : Bretco LLC,0000 - None,8373B Greensboro Dr,Amanda Woodhall,Pending Receipt,07/13/2026,04/15/2027,,,2,0,2,86207.00,172414.00,24382,US,Net 30,93433,States Manufacturing LLC,55316,Skid for MV Primary Switchgear,4671907,"DS-Other (i.e. hardware, cables, Pole Mounted Equipment, etc)","Other (i.e. hardware, cables, Pole Mounted Equipment, etc)",[FILL IN DESCRIPTION],Cost of Sales - Sourced Product,Inventory Item,,
P-BL0000780,5,Top Company : PwrQ Holdings : Bretco LLC,0000 - None,8373B Greensboro Dr,Amanda Woodhall,Pending Receipt,07/13/2026,05/15/2027,,,2,0,2,86207.00,172414.00,24382,US,Net 30,93433,States Manufacturing LLC,55316,Skid for MV Primary Switchgear,4671907,"DS-Other (i.e. hardware, cables, Pole Mounted Equipment, etc)","Other (i.e. hardware, cables, Pole Mounted Equipment, etc)",[FILL IN DESCRIPTION],Cost of Sales - Sourced Product,Inventory Item,,
P-BL0000780,6,Top Company : PwrQ Holdings : Bretco LLC,0000 - None,8373B Greensboro Dr,Amanda Woodhall,Pending Receipt,07/13/2026,06/15/2027,,,2,0,2,86207.00,172414.00,24382,US,Net 30,93433,States Manufacturing LLC,55316,Skid for MV Primary Switchgear,4671907,"DS-Other (i.e. hardware, cables, Pole Mounted Equipment, etc)","Other (i.e. hardware, cables, Pole Mounted Equipment, etc)",[FILL IN DESCRIPTION],Cost of Sales - Sourced Product,Inventory Item,,
P-BL0000780,7,Top Company : PwrQ Holdings : Bretco LLC,0000 - None,8373B Greensboro Dr,Amanda Woodhall,Pending Receipt,07/13/2026,04/15/2027,,,2,0,2,82751.00,165502.00,24382,US,Net 30,93433,States Manufacturing LLC,55316,Integrated Battery System 125VDC ,4671907,"DS-Other (i.e. hardware, cables, Pole Mounted Equipment, etc)","Other (i.e. hardware, cables, Pole Mounted Equipment, etc)",[FILL IN DESCRIPTION],Cost of Sales - Sourced Product,Inventory Item,,
P-BL0000780,8,Top Company : PwrQ Holdings : Bretco LLC,0000 - None,8373B Greensboro Dr,Amanda Woodhall,Pending Receipt,07/13/2026,05/15/2027,,,2,0,2,82751.00,165502.00,24382,US,Net 30,93433,States Manufacturing LLC,55316,Integrated Battery System 125VDC ,4671907,"DS-Other (i.e. hardware, cables, Pole Mounted Equipment, etc)","Other (i.e. hardware, cables, Pole Mounted Equipment, etc)",[FILL IN DESCRIPTION],Cost of Sales - Sourced Product,Inventory Item,,
P-BL0000780,9,Top Company : PwrQ Holdings : Bretco LLC,0000 - None,8373B Greensboro Dr,Amanda Woodhall,Pending Receipt,07/13/2026,06/15/2027,,,2,0,2,82751.00,165502.00,24382,US,Net 30,93433,States Manufacturing LLC,55316,Integrated Battery System 125VDC ,4671907,"DS-Other (i.e. hardware, cables, Pole Mounted Equipment, etc)","Other (i.e. hardware, cables, Pole Mounted Equipment, etc)",[FILL IN DESCRIPTION],Cost of Sales - Sourced Product,Inventory Item,,
P-BL0000780,10,Top Company : PwrQ Holdings : Bretco LLC,0000 - None,8373B Greensboro Dr,Amanda Woodhall,Pending Receipt,07/13/2026,04/01/2027,,,1,0,1,17242.00,17242.00,24382,US,Net 30,93433,States Manufacturing LLC,55316,Testing 	Factory Witness Test PER lineup ,4671907,DS-Factory Witness Testing,DS-Factory Witness Testing,,Cost of Sales - Sourced Product,Non-inventory Item,,Each
P-BL0000780,11,Top Company : PwrQ Holdings : Bretco LLC,0000 - None,8373B Greensboro Dr,Amanda Woodhall,Pending Receipt,07/13/2026,04/15/2027,,,2,0,2,28000.00,56000.00,24382,US,Net 30,93433,States Manufacturing LLC,55316,"Freight (DDP to Wytheville, VA) ",4671907,DS-Freight Included,DS-Freight Included,,Outbound Freight,Non-inventory Item,,Each
P-BL0000780,12,Top Company : PwrQ Holdings : Bretco LLC,0000 - None,8373B Greensboro Dr,Amanda Woodhall,Pending Receipt,07/13/2026,05/15/2027,,,2,0,2,28000.00,56000.00,24382,US,Net 30,93433,States Manufacturing LLC,55316,"Freight (DDP to Wytheville, VA) ",4671907,DS-Freight Included,DS-Freight Included,,Outbound Freight,Non-inventory Item,,Each
P-BL0000780,13,Top Company : PwrQ Holdings : Bretco LLC,0000 - None,8373B Greensboro Dr,Amanda Woodhall,Pending Receipt,07/13/2026,06/15/2027,,,2,0,2,28000.00,56000.00,24382,US,Net 30,93433,States Manufacturing LLC,55316,"Freight (DDP to Wytheville, VA) ",4671907,DS-Freight Included,DS-Freight Included,,Outbound Freight,Non-inventory Item,,Each
P-BL0000781,1,Top Company : PwrQ Holdings : Bretco LLC,0000 - None,8373B Greensboro Dr,Amanda Woodhall,Pending Receipt,07/13/2026,04/15/2027,,,39,0,39,180700.00,7047300.00,24382,US,Net 30,51955,IC-MGM TRANSFORMER,90040,3.6MVA 34.5/0.480/0.415kV Solid Ground (double tap) oil-filled FR3. 5000A FLA minimum. 65kA SC maximum. Pad Mounted. NEMA 3R,4671912,DS-Medium Voltage Transformer and Related Products,Medium Voltage Transformer and Related Products,[FILL IN DESCRIPTION],Cost of Sales - Sourced Product,Inventory Item,,
P-BL0000781,2,Top Company : PwrQ Holdings : Bretco LLC,0000 - None,8373B Greensboro Dr,Amanda Woodhall,Pending Receipt,07/13/2026,05/15/2027,,,33,0,33,180700.00,5963100.00,24382,US,Net 30,51955,IC-MGM TRANSFORMER,90040,3.6MVA 34.5/0.480/0.415kV Solid Ground (double tap) oil-filled FR3. 5000A FLA minimum. 65kA SC maximum. Pad Mounted. NEMA 3R,4671912,DS-Medium Voltage Transformer and Related Products,Medium Voltage Transformer and Related Products,[FILL IN DESCRIPTION],Cost of Sales - Sourced Product,Inventory Item,,
P-BL0000781,3,Top Company : PwrQ Holdings : Bretco LLC,0000 - None,8373B Greensboro Dr,Amanda Woodhall,Pending Receipt,07/13/2026,06/15/2027,,,33,0,33,180700.00,5963100.00,24382,US,Net 30,51955,IC-MGM TRANSFORMER,90040,3.6MVA 34.5/0.480/0.415kV Solid Ground (double tap) oil-filled FR3. 5000A FLA minimum. 65kA SC maximum. Pad Mounted. NEMA 3R,4671912,DS-Medium Voltage Transformer and Related Products,Medium Voltage Transformer and Related Products,[FILL IN DESCRIPTION],Cost of Sales - Sourced Product,Inventory Item,,
P-BL0000781,4,Top Company : PwrQ Holdings : Bretco LLC,0000 - None,8373B Greensboro Dr,Amanda Woodhall,Pending Receipt,07/13/2026,04/01/2027,,,1,0,1,3500.00,3500.00,24382,US,Net 30,51955,IC-MGM TRANSFORMER,90040,Factory Witness Test - Transformer per design ,4671912,DS-Factory Witness Testing,DS-Factory Witness Testing,,Cost of Sales - Sourced Product,Non-inventory Item,,Each
P-BL0000781,5,Top Company : PwrQ Holdings : Bretco LLC,0000 - None,8373B Greensboro Dr,Amanda Woodhall,Pending Receipt,07/13/2026,04/15/2027,,,39,0,39,4500.00,175500.00,24382,US,Net 30,51955,IC-MGM TRANSFORMER,90040,"Freight (DDP to Wytheville, VA) ",4671912,DS-Freight Included,DS-Freight Included,,Outbound Freight,Non-inventory Item,,Each
P-BL0000781,6,Top Company : PwrQ Holdings : Bretco LLC,0000 - None,8373B Greensboro Dr,Amanda Woodhall,Pending Receipt,07/13/2026,05/15/2027,,,33,0,33,4500.00,148500.00,24382,US,Net 30,51955,IC-MGM TRANSFORMER,90040,"Freight (DDP to Wytheville, VA) ",4671912,DS-Freight Included,DS-Freight Included,,Outbound Freight,Non-inventory Item,,Each
P-BL0000781,7,Top Company : PwrQ Holdings : Bretco LLC,0000 - None,8373B Greensboro Dr,Amanda Woodhall,Pending Receipt,07/13/2026,06/15/2027,,,33,0,33,4500.00,148500.00,24382,US,Net 30,51955,IC-MGM TRANSFORMER,90040,"Freight (DDP to Wytheville, VA) ",4671912,DS-Freight Included,DS-Freight Included,,Outbound Freight,Non-inventory Item,,Each
P-BL0000782,1,Top Company : PwrQ Holdings : Bretco LLC,0000 - None,8373B Greensboro Dr,Amanda Woodhall,Pending Receipt,07/13/2026,04/15/2027,,,39,0,39,195310.00,7617090.00,24382,US,Net 30,53105,JST Power Equipment,32746,RMU: J10X™ SF6 Gas Insulated Switchgear rated 38kV-600A-25kA - VVV Configuration + FLISR Transfer Scheme - NEMA3R,4671913,DS-Medium Voltage Switchgear,Medium Voltage Switchgear,[FILL IN DESCRIPTION],Cost of Sales - Sourced Product,Inventory Item,,
P-BL0000782,2,Top Company : PwrQ Holdings : Bretco LLC,0000 - None,8373B Greensboro Dr,Amanda Woodhall,Pending Receipt,07/13/2026,05/15/2027,,,33,0,33,195310.00,6445230.00,24382,US,Net 30,53105,JST Power Equipment,32746,RMU: J10X™ SF6 Gas Insulated Switchgear rated 38kV-600A-25kA - VVV Configuration + FLISR Transfer Scheme - NEMA3R,4671913,DS-Medium Voltage Switchgear,Medium Voltage Switchgear,[FILL IN DESCRIPTION],Cost of Sales - Sourced Product,Inventory Item,,
P-BL0000782,3,Top Company : PwrQ Holdings : Bretco LLC,0000 - None,8373B Greensboro Dr,Amanda Woodhall,Pending Receipt,07/13/2026,06/15/2027,,,33,0,33,195310.00,6445230.00,24382,US,Net 30,53105,JST Power Equipment,32746,RMU: J10X™ SF6 Gas Insulated Switchgear rated 38kV-600A-25kA - VVV Configuration + FLISR Transfer Scheme - NEMA3R,4671913,DS-Medium Voltage Switchgear,Medium Voltage Switchgear,[FILL IN DESCRIPTION],Cost of Sales - Sourced Product,Inventory Item,,
P-BL0000782,4,Top Company : PwrQ Holdings : Bretco LLC,0000 - None,8373B Greensboro Dr,Amanda Woodhall,Pending Receipt,07/13/2026,04/01/2027,,,1,0,1,8500.00,8500.00,24382,US,Net 30,53105,JST Power Equipment,32746,Factory Witness Test in Florida for 1st RMU,4671913,DS-Factory Witness Testing,DS-Factory Witness Testing,,Cost of Sales - Sourced Product,Non-inventory Item,,Each
P-BL0000782,5,Top Company : PwrQ Holdings : Bretco LLC,0000 - None,8373B Greensboro Dr,Amanda Woodhall,Pending Receipt,07/13/2026,04/15/2027,,,39,0,39,2346.19047619,91501.42,24382,US,Net 30,53105,JST Power Equipment,32746,"Freight (DDP to Wytheville, VA) ",4671913,DS-Freight Included,DS-Freight Included,,Outbound Freight,Non-inventory Item,,Each
P-BL0000782,6,Top Company : PwrQ Holdings : Bretco LLC,0000 - None,8373B Greensboro Dr,Amanda Woodhall,Pending Receipt,07/13/2026,05/15/2027,,,33,0,33,2346.19047619,77424.29,24382,US,Net 30,53105,JST Power Equipment,32746," 	Freight (DDP to Wytheville, VA) ",4671913,DS-Freight Included,DS-Freight Included,,Outbound Freight,Non-inventory Item,,Each
P-BL0000782,7,Top Company : PwrQ Holdings : Bretco LLC,0000 - None,8373B Greensboro Dr,Amanda Woodhall,Pending Receipt,07/13/2026,06/15/2027,,,33,0,33,2346.19047619,77424.29,24382,US,Net 30,53105,JST Power Equipment,32746,"Freight (DDP to Wytheville, VA) ",4671913,DS-Freight Included,DS-Freight Included,,Outbound Freight,Non-inventory Item,,Each
